n0_perception	n2_puzzle_help	n2_puzzle_levels_lost	n2_puzzle_levels_won	n2_puzzle_max_level	n2_puzzle_mean_time_played	n2_puzzle_movs	n2_puzzle_timeout	n2_memory_levels_lost	n2_memory_levels_won	n2_memory_max_level	n2_memory_mean_time_played	n2_memory_time_played	n2_memory_timeout	n2_memory_turns_played	n2_concrete_levels_won	n2_concrete_mean_time_played	n2_concrete_time_played	n2_concrete_timeout	n2_concrete_turns_played	n2_abstract_levels_won	n2_abstract_max_level	n2_abstract_mean_time_played	n2_abstract_timeout	n2_abstract_turns_played
0	*	1	2	2	2	2	*	1	0	0	0	0	*	1	2	0	2	*	2	2	2	0	*	2
0	*	1	0	1	1	0	*	2	2	1	2	2	*	2	2	1	1	*	2	1	1	1	*	1
0	*	1	1	1	1	2	*	1	1	2	1	1	*	1	2	0	2	*	2	1	1	2	*	2
0	*	2	2	2	2	1	*	1	0	0	0	0	*	1	0	2	1	*	0	1	2	0	*	1
0	*	0	0	1	1	0	*	0	2	1	2	1	*	0	1	0	1	*	2	1	1	0	*	1
0	*	1	1	2	2	1	*	2	2	2	2	2	*	2	1	0	2	*	1	0	0	2	*	0
0	*	2	2	2	1	2	*	1	2	2	2	2	*	2	1	1	1	*	1	0	0	1	*	1
0	*	1	1	1	1	2	*	0	2	2	2	0	*	0	2	1	2	*	1	2	1	1	*	2
0	*	0	0	2	2	1	*	1	2	2	1	0	*	2	2	0	2	*	1	1	2	2	*	0
0	2	0	2	2	2	2	*	1	2	2	2	2	*	2	2	1	2	*	2	1	1	0	*	2
0	1	1	2	2	2	2	*	1	0	1	0	0	*	1	0	1	0	*	0	1	1	1	*	2
0	*	1	0	1	1	1	*	2	2	2	2	1	*	0	0	1	0	*	1	0	0	2	*	0
0	*	1	1	1	0	0	*	2	2	2	2	2	*	2	1	1	1	*	1	2	2	0	*	2
0	*	2	1	2	2	0	*	0	2	2	0	2	*	2	1	2	2	*	2	1	1	2	*	0
0	*	0	1	1	1	1	*	0	2	2	2	2	*	2	0	0	0	*	0	1	1	1	2	2
0	*	0	1	1	0	0	*	2	2	2	1	2	*	2	1	0	0	*	1	2	2	0	*	2
0	*	1	1	1	0	2	*	2	2	2	1	2	*	2	2	2	2	*	2	1	2	1	*	1
0	*	1	2	1	2	2	*	2	2	2	2	2	*	2	0	1	2	*	0	1	1	1	*	1
0	*	2	2	2	1	2	*	2	0	2	2	0	*	2	1	1	2	*	1	1	0	2	2	0
0	*	0	2	2	2	1	*	2	1	1	0	1	*	1	0	0	0	*	0	2	1	2	*	0
1	2	1	2	2	2	2	2	2	1	2	2	2	*	2	2	0	0	2	2	1	2	1	*	1
1	1	1	1	1	2	2	2	2	2	2	1	2	*	2	2	0	1	0	2	2	1	2	*	2
1	1	1	0	1	0	2	*	0	1	2	2	1	*	0	0	2	0	2	0	2	2	0	*	2
1	2	2	1	1	0	2	1	2	2	2	1	2	*	2	2	1	2	2	2	2	2	2	*	2
1	1	0	2	2	2	1	*	2	1	2	2	2	*	2	0	1	0	2	2	1	2	2	*	2
1	1	2	2	2	1	2	*	2	2	2	1	2	*	2	1	1	1	2	1	2	2	0	*	2
1	0	1	2	2	2	2	*	2	2	0	2	2	*	1	2	2	2	2	2	2	2	0	*	2
1	2	2	2	1	0	0	*	2	2	2	1	2	*	2	2	1	2	2	2	2	2	0	*	2
1	0	2	2	2	2	1	*	0	1	2	1	1	*	1	0	2	0	2	0	2	0	1	*	0
1	2	2	1	0	2	0	*	2	2	1	2	2	*	2	2	2	2	2	2	0	0	1	2	1
1	2	0	2	2	2	1	*	2	1	1	1	1	*	1	2	0	2	0	2	0	1	2	*	2
