n0_perception n2_puzzle_help n2_puzzle_levels_lost n2_puzzle_levels_won n2_puzzle_max_level n2_puzzle_mean_time_played n2_puzzle_movs n2_puzzle_timeout n2_memory_levels_lost n2_memory_levels_won n2_memory_max_level n2_memory_mean_time_played n2_memory_time_played n2_memory_timeout n2_memory_turns_played n2_concrete_levels_won n2_concrete_mean_time_played n2_concrete_time_played n2_concrete_timeout n2_concrete_turns_played n2_abstract_levels_won n2_abstract_max_level n2_abstract_mean_time_played n2_abstract_timeout n2_abstract_turns_played 
     -11       *       *       1       1   55808      24       *       *       *       *       *       *       *       *       *       *       *       *       *      27      10   18368       *      33
     -11       *       2      13       9   89864     197       *       4       5       2    6021   54194       *       9       *       *       *       *       *      42      15   13313       *      45
      -9       *       *       6       6   82258      68       *       *       *       *       *       *       *       *       *       *       *       *       *       3       3   34959       *       5
      -9       *       4       2       1   53548       *       *       3      11       5    9015  126219       *      14      46   12901  683804       *      53      27       7   45649       *      40
      -9       *       *       *       *       *       *       *       3       4       2    6951   48662       *       7      10   30432  334756       *      11      24      15   13300       *      26
      -9       *       1       1       1   60973      46       *       *       *       *       *       *       *       *       *       *       *       *       *      17       7   15560       *      21
      -7       *       2       2       1   51529       *       *       1       *       *   41191   41191       *       1      26   21573  582485       *      27      36      13   19649       *      40
      -7       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *   33089       *       1
      -7      23       1      13      11  614326     210       *       2      20      10   11097  244150       *      22      39   19104  859682       *      45       *       *       *       *       *
      -7       3       3      41       9  623593     631       *       3       4       3    6697   46883       *       7       5   15637   78188       *       5      33      14   25214       *      53
      -7       *       3       1       1   59823     110       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *   58635       *       2
      -7       *       2       2       1   34802       *       *       9      38       7   10702  503000       *      47      24   17248  413967       *      24      63      15   14423       *      74
      -7       *       7      11       9   78472     227       *       2      25      20   13114  354099       *      27      20   19442  388857       *      20       6       6   20151       *       8
      -5       *       *       *       *       *       *       *      11      23       5    7787  264761       *      34      18    7054  148152       *      21      88      15   11221       *     100
      -5       *       5       2       1   33738       *       *      32      93       5    7984  998004       *     125      36   27047 1190092       *      44      30      15   22826       *      36
      -5       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *      17       9   20218       *      25
      -5       *       8      12       9   69124     242       *       *       *       *       *       *       *       *      22   21944  504725       *      23       *       *   71101       1       3
      -5       *       1       9       9  498371     123       *       7      11       3    6181  111272       *      18      10    8415   84158       *      10       *       *   32414       *       3
      -5       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *   31184       *       1
      -5       *       1       6       3   45603     124       *       *       *       *       *       *       *       *      12   10693  128322       *      12      26       9   17896       1      37
      -3       7       4      21      11  212962     417       3       5      15       5    9712  194240       *      20      29    6614  211676       2      32      15      15   25285       *      17
      -3       *       3       7       5   88141     291       3      11      35       5    7701  354272       *      46       *       *       *       *       *       *       *       *       *       *
      -1       *       9       3       1   38637     230       2       5      17       8    7856  172853       *      22      34   19823  713636       *      36      61      22  708979       *     143
      -1       *       *       9       8  212433     116       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *       *
      -1       3      15      69       9   62406    1672       *       6      27      12    8342  275287       *      33      17   18586  334563       *      18     176      25   14606       *     236
      -1       1       2      22      11  109592     474       *       *       *       *       *       *       *       *      35   23897  955913       1      40      53      25   11365       *      57
