username,result,timesPlayed,timePlayed,level,perception
245001,-1.0,1.0,18113.0,1.0,1.0
245985,-1.0,7.0,10220.571,4.0,1.0
246658,-3.0,3.0,71101.0,1.0,-5.0
246688,-2.0,2.0,28214.5,1.0,3.0
246724,14.0,32.0,16383.906,9.0,9.0
246731,-1.0,1.0,20925.0,1.0,1.0
246746,-2.0,2.0,36212.5,1.0,9.0
246750,-3.0,3.0,30365.666,1.0,3.0
246760,-4.0,4.0,26669.75,1.0,7.0
246810,-2.0,2.0,17882.5,1.0,5.0
246856,4.0,8.0,24993.25,7.0,1.0
246863,-1.0,1.0,121264.0,1.0,5.0
246916,6.0,10.0,11533.0,6.0,3.0
247036,0.0,2.0,15009.5,2.0,7.0
247061,9.0,13.0,11137.308,5.0,7.0
247074,6.0,10.0,20313.5,7.0,3.0
247140,18.0,36.0,14302.694,7.0,3.0
247151,-1.0,1.0,26293.0,1.0,5.0
247190,2.0,10.0,11549.7,4.0,7.0
247192,-1.0,1.0,31184.0,1.0,3.0
247194,-2.0,2.0,20898.5,1.0,5.0
247198,2.0,8.0,13405.875,6.0,1.0
247303,-2.0,2.0,32319.0,1.0,3.0
247344,-1.0,1.0,13210.0,1.0,5.0
247350,21.0,27.0,15996.556,10.0,-1.0
247353,33.0,53.0,17872.377,10.0,9.0
247363,-1.0,1.0,55972.0,1.0,-1.0
247373,-3.0,3.0,45076.332,1.0,7.0
247381,-1.0,1.0,53618.0,1.0,5.0
247405,2.0,14.0,28128.928,7.0,3.0
247408,-3.0,3.0,11583.0,1.0,7.0
247425,-2.0,2.0,34190.0,1.0,7.0
247441,1.0,7.0,11162.286,5.0,9.0
247456,0.0,16.0,16431.375,4.0,5.0
247493,4.0,8.0,21542.75,6.0,-1.0
247498,11.0,27.0,21401.148,8.0,-9.0
247499,-1.0,1.0,14853.0,1.0,1.0
247586,-2.0,2.0,48717.5,1.0,1.0
247819,5.0,13.0,17362.924,7.0,5.0
247821,34.0,66.0,23134.787,10.0,1.0
adiazpace,-1.0,1.0,53892.0,1.0,-10.0
amonteserin,21.0,33.0,18368.969,10.0,-10.0
arodriguez,29.0,45.0,16589.334,10.0,-5.0
cvaldezgandara,-1.0,1.0,50925.0,1.0,3.0
dfanaro,-1.0,1.0,84593.0,1.0,-1.0
dlopez,13.0,21.0,15560.048,8.0,-10.0
eferrante,-1.0,1.0,33089.0,1.0,-10.0
eiarussi,-2.0,2.0,58635.0,1.0,-10.0
fdefelippe,7.0,17.0,20433.766,7.0,7.0
gcurra,-2.0,2.0,23406.0,1.0,9.0
hmanterola,-1.0,1.0,44005.0,1.0,-9.0
javellaneda,-3.0,3.0,56958.332,1.0,11.0
jbais,0.0,8.0,8296.375,5.0,9.0
jluna,24.0,30.0,15002.233,10.0,-11.0
jmendiola,-1.0,1.0,35589.0,1.0,1.0
jsebey,19.0,27.0,11409.074,9.0,3.0
lmarquez,-1.0,21.0,66827.81,3.0,-1.0
lsanchez,-2.0,2.0,34175.0,1.0,-1.0
mciolfifelice,1.0,5.0,10962.8,4.0,-3.0
mgiamberardino,15.0,37.0,17896.783,9.0,-10.0
mobregozo,2.0,4.0,31737.25,3.0,5.0
mpavletic,-1.0,1.0,12741.0,1.0,5.0
mpiccolo,7.0,23.0,23770.479,7.0,3.0
mrossi,6.0,8.0,26344.0,8.0,-9.0
msanchez,-4.0,4.0,25145.0,1.0,7.0
nfagotti,32.0,42.0,11203.929,10.0,-1.0
ribañez,-1.0,1.0,17374.0,1.0,5.0
rporchetto,-2.0,4.0,101722.25,2.0,3.0
